,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
110,Don’t Forget,"Crush, TAEYEON",0.661,0.629,5,-5.81,1,0.0327,0.438,0.258,93.948,219107,4
111,You’re the Best,MAMAMOO,0.683,0.86,5,-3.243,0,0.0471,0.0395,0.703,122.03,230915,4
112,RE-BYE,AKMU,0.799,0.608,2,-5.474,0,0.068,0.476,0.924,127.995,188717,4
113,Very Very Very,I.O.I,0.744,0.963,7,-1.525,1,0.0616,0.136,0.788,102.985,203640,4
114,쏘쏘 so-so,Baek A Yeon,0.702,0.491,6,-4.441,1,0.0396,0.81,0.301,67.217,212642,4
115,봄이 좋냐?? What The Spring??,10cm,0.866,0.37,1,-5.739,1,0.0327,0.597,0.841,94.018,205752,4
116,A Little Girl,OHHYUK,0.413,0.241,3,-9.682,1,0.0356,0.417,0.153,129.786,226275,4
117,You Are My Everything,Gummy,0.335,0.498,6,-5.121,1,0.0381,0.658,0.104,135.057,240590,4
118,봄인가 봐 Spring Love,"WENDY, Eric Nam",0.68,0.391,11,-6.906,1,0.0357,0.723,0.419,82.861,198750,4
119,DNA,BTS,0.598,0.775,1,-4.035,0,0.0545,0.022,0.687,129.819,223123,4
120,Ko Ko Bop,EXO,0.749,0.85,0,-4.346,1,0.0468,0.0319,0.672,145.983,190423,4
121,Energetic,Wanna One,0.714,0.886,0,-3.076,1,0.0461,0.058,0.752,125.046,189356,4
122,As If It's Your Last,BLACKPINK,0.786,0.852,8,-2.687,1,0.0813,0.0687,0.455,125.036,213264,4
123,Red Flavor,Red Velvet,0.709,0.917,9,-3.315,1,0.189,0.0409,0.515,125.042,191139,4
124,Likey,TWICE,0.723,0.903,4,-1.262,0,0.033,0.413,0.443,132.006,207813,4
125,"무제(無題) (Untitled, 2014)",G-DRAGON,0.583,0.461,4,-5.153,1,0.0321,0.785,0.263,79.826,222868,4
126,NEVER,Sons of People,0.693,0.844,0,-2.257,0,0.0578,0.617,0.717,110.012,196853,3
127,Artist,ZICO,0.875,0.855,11,-4.561,1,0.242,0.138,0.874,117.998,192827,4
128,DINOSAUR,AKMU,0.767,0.755,11,-3.938,0,0.03,0.303,0.631,120.978,240572,4
129,Complex,"Zion.T, DJ Dopsh, G-DRAGON",0.82,0.458,0,-10.207,1,0.369,0.576,0.546,95.015,207493,4
130,Dark Clouds,"HEIZE, nafla",0.893,0.714,1,-5.428,1,0.0444,0.0693,0.832,104.975,167944,4
131,Why Don’t You Know,"CHUNG HA, Nucksal",0.703,0.923,9,-0.962,0,0.148,0.32,0.623,100.038,198420,4
132,Fine,TAEYEON,0.36,0.565,7,-4.898,1,0.0608,0.358,0.311,173.281,209157,4
133,REALLY REALLY,WINNER,0.765,0.77,2,-3.16,1,0.0592,0.167,0.581,103.005,203057,4
134,We Are,"Woo, Loco, GRAY",0.756,0.808,7,-3.272,1,0.0752,0.147,0.685,100.018,196020,4
135,DDD,EXID,0.718,0.794,11,-2.877,0,0.0703,0.0806,0.751,114.285,205821,4
136,Yes I Am,MAMAMOO,0.737,0.894,0,-2.779,1,0.254,0.14,0.648,120.115,211660,4
137,Phonecert,10cm,0.858,0.481,9,-3.649,1,0.104,0.391,0.773,107.96,197504,4
138,Come Over,"DEAN, Yerin Baek",0.496,0.63,6,-7.849,0,0.186,0.0747,0.318,168.225,266137,4
139,HOME IS FAR AWAY,"Epik High, OHHYUK",0.78,0.858,7,-6.331,0,0.128,0.357,0.5,93.984,291002,4
140,I LUV IT,PSY,0.874,0.764,5,-3.397,0,0.0488,0.029,0.887,124.954,188976,4
141,Beautiful,Wanna One,0.507,0.855,0,-3.62,1,0.15,0.415,0.391,159.808,196799,4
142,Don't Know You,HEIZE,0.699,0.562,4,-5.573,0,0.253,0.213,0.471,104.995,189410,4
143,Knock Knock,TWICE,0.672,0.968,1,-2.636,0,0.131,0.0243,0.473,129.971,195747,4
144,Open Up,Knock,0.563,0.815,5,-3.096,1,0.0391,0.0522,0.602,145.923,210547,4
145,Last Goodbye,AKMU,0.665,0.537,0,-4.65,1,0.0267,0.146,0.271,116.995,283800,4
146,LOVE ME LOVE ME,WINNER,0.754,0.816,9,-4.46,0,0.0694,0.0851,0.746,105.993,217309,4
147,LOVE STORY,"Epik High, IU",0.729,0.864,6,-4.957,1,0.104,0.561,0.761,92.982,236269,4
148,Burn It Up,Wanna One,0.642,0.849,11,-3.266,0,0.0563,0.0461,0.601,127.923,214942,4
149,New Face,PSY,0.836,0.728,0,-3.449,0,0.0563,0.0079,0.444,131.969,190234,4
150,It's Me (Pick Me),PRODUCE 101,0.505,0.963,7,-1.316,1,0.0573,0.0261,0.627,128.059,247311,4
151,Rookie,Red Velvet,0.683,0.938,8,-3.723,0,0.288,0.0888,0.868,164.1,197638,4
152,The Song,Zion.T,0.815,0.613,7,-5.009,1,0.0323,0.716,0.46,94.979,216627,4
153,WAKE ME UP,TAEYANG,0.577,0.513,10,-5.996,1,0.0292,0.0298,0.195,78.014,199458,4
154,"You, Clouds, Rain","HEIZE, Shin Yong Jae",0.509,0.502,1,-6.972,0,0.0915,0.765,0.341,79.16,205312,4
